피드백ID,고객ID,등록일,내용,평가점수,유형
FB000333,CUST004173,2023-06-23,요금이 비싼 편입니다,5,건의
FB000334,CUST002783,2023-12-25,개선이 필요합니다,4,건의
FB000335,CUST000424,2024-08-07,다시 이용하고 싶습니다,4,불만
FB000336,CUST004211,2023-01-29,개선이 필요합니다,5,건의
FB000337,CUST003715,2023-04-27,상담원이 친절했습니다,4,건의
FB000338,CUST004818,2024-02-15,공급이 안정적이네요,4,건의
FB000339,CUST000957,2023-09-10,가격이 합리적입니다,3,칭찬
FB000340,CUST004811,2024-08-04,기술자가 전문적이었습니다,4,칭찬
FB000341,CUST001116,2024-09-08,서비스가 좋습니다,5,불만
FB000342,CUST003671,2023-10-06,가격이 합리적입니다,3,건의
FB000343,CUST000678,2024-08-22,다시 이용하고 싶습니다,4,불만
FB000344,CUST000276,2023-02-04,계약 과정이 복잡해요,4,칭찬
FB000345,CUST000316,2023-03-25,계약 과정이 복잡해요,4,불만
FB000346,CUST004607,2023-07-19,상담원이 친절했습니다,4,불만
FB000347,CUST000463,2023-08-20,신청 처리가 빨라요,5,칭찬
FB000348,CUST000546,2023-08-26,청구서가 늦게 와요,5,건의
FB000349,CUST000451,2023-10-06,기술자가 전문적이었습니다,3,불만
FB000350,CUST003935,2023-10-06,상담원이 친절했습니다,3,칭찬
FB000351,CUST001649,2023-08-09,공급이 안정적이네요,3,건의
FB000352,CUST001911,2024-05-02,만족합니다,5,건의
FB000353,CUST002595,2024-11-12,불만이 많습니다,5,건의
FB000354,CUST000933,2024-03-05,개선이 필요합니다,5,불만
FB000355,CUST003113,2024-05-08,다시 이용하고 싶습니다,5,건의
FB000356,CUST001059,2024-11-03,공급이 안정적이네요,5,불만
FB000357,CUST004687,2023-07-30,공급이 안정적이네요,5,칭찬
FB000358,CUST002821,2024-12-03,서비스가 좋습니다,4,칭찬
FB000359,CUST000185,2023-10-08,기술자가 전문적이었습니다,4,불만
FB000360,CUST001649,2024-06-30,요금이 비싼 편입니다,3,칭찬
FB000361,CUST001782,2023-04-13,신청 처리가 빨라요,3,칭찬
FB000362,CUST003283,2023-10-16,기술자가 전문적이었습니다,5,칭찬
FB000363,CUST003749,2023-02-16,만족합니다,4,칭찬
FB000364,CUST001683,2024-07-30,가격이 합리적입니다,4,건의
FB000365,CUST001119,2024-07-12,청구서가 늦게 와요,3,건의
FB000366,CUST004150,2024-12-08,불만이 많습니다,4,불만
FB000367,CUST004432,2023-09-29,기술자가 전문적이었습니다,5,칭찬
FB000368,CUST002595,2023-04-01,신청 처리가 빨라요,4,건의
FB000369,CUST004020,2023-03-05,다시 이용하고 싶습니다,4,건의
FB000370,CUST002865,2023-03-14,서비스가 좋습니다,3,불만
FB000371,CUST004965,2024-03-20,공급이 안정적이네요,4,불만
FB000372,CUST004105,2024-05-20,신청 처리가 빨라요,3,칭찬
FB000373,CUST004948,2024-09-06,공급이 안정적이네요,5,칭찬
FB000374,CUST000682,2023-08-10,개선이 필요합니다,4,건의
FB000375,CUST002634,2023-02-08,앱이 사용하기 편해요,4,건의
FB000376,CUST003370,2023-03-17,계약 과정이 복잡해요,5,건의
FB000377,CUST000710,2023-09-15,앱이 사용하기 편해요,5,칭찬
FB000378,CUST000540,2024-07-11,신청 처리가 빨라요,5,건의
FB000379,CUST003069,2023-04-04,다시 이용하고 싶습니다,5,건의
FB000380,CUST003498,2023-04-17,요금이 비싼 편입니다,3,칭찬
FB000381,CUST000214,2024-02-15,앱이 사용하기 편해요,5,건의
FB000382,CUST004607,2023-01-11,요금이 비싼 편입니다,3,칭찬
FB000383,CUST003513,2023-10-17,서비스가 좋습니다,2,불만
FB000384,CUST004742,2024-08-15,공급이 안정적이네요,5,불만
FB000385,CUST003692,2024-11-01,다시 이용하고 싶습니다,4,건의
FB000386,CUST001880,2024-12-28,신청 처리가 빨라요,4,칭찬
FB000387,CUST000060,2024-08-27,기술자가 전문적이었습니다,5,불만
FB000388,CUST004609,2024-11-09,청구서가 늦게 와요,2,칭찬
FB000389,CUST002580,2024-11-04,앱이 사용하기 편해요,5,불만
FB000390,CUST002965,2023-03-27,불만이 많습니다,4,건의
FB000391,CUST001535,2023-01-26,계약 과정이 복잡해요,4,건의
FB000392,CUST001223,2023-02-18,신청 처리가 빨라요,5,칭찬
FB000393,CUST000339,2023-11-16,앱이 사용하기 편해요,4,칭찬
FB000394,CUST003744,2024-11-02,신청 처리가 빨라요,3,건의
FB000395,CUST000610,2023-06-15,서비스가 좋습니다,5,불만
FB000396,CUST003962,2023-02-09,개선이 필요합니다,4,칭찬
FB000397,CUST000142,2023-06-04,개선이 필요합니다,4,건의
FB000398,CUST003130,2024-06-26,기술자가 전문적이었습니다,2,건의
FB000399,CUST000595,2024-07-29,앱이 사용하기 편해요,5,건의
FB000400,CUST001120,2024-03-03,개선이 필요합니다,4,칭찬
FB000401,CUST004730,2024-03-03,청구서가 늦게 와요,5,불만
FB000402,CUST002460,2023-05-02,만족합니다,2,건의
FB000403,CUST002323,2024-02-18,만족합니다,4,건의
FB000404,CUST002424,2024-07-11,서비스가 좋습니다,5,불만
FB000405,CUST003025,2023-02-03,계약 과정이 복잡해요,4,불만
FB000406,CUST003541,2023-03-16,만족합니다,3,건의
FB000407,CUST001851,2024-09-27,만족합니다,1,칭찬
FB000408,CUST001380,2024-09-08,상담원이 친절했습니다,4,불만
FB000409,CUST000692,2023-02-10,가격이 합리적입니다,4,건의
FB000410,CUST003976,2023-09-10,서비스가 좋습니다,4,칭찬
FB000411,CUST002363,2023-10-26,가격이 합리적입니다,4,건의
FB000412,CUST002002,2023-05-28,공급이 안정적이네요,5,칭찬
FB000413,CUST001702,2023-05-05,공급이 안정적이네요,5,건의
FB000414,CUST000972,2023-07-25,기술자가 전문적이었습니다,4,불만
FB000415,CUST002867,2023-09-22,신청 처리가 빨라요,3,칭찬
FB000416,CUST002935,2024-05-28,다시 이용하고 싶습니다,5,건의
FB000417,CUST001356,2023-12-04,공급이 안정적이네요,5,건의
FB000418,CUST001942,2023-11-06,다시 이용하고 싶습니다,4,칭찬
FB000419,CUST000059,2024-07-20,요금이 비싼 편입니다,4,불만
FB000420,CUST003816,2023-09-25,기술자가 전문적이었습니다,1,건의
FB000421,CUST000738,2023-06-09,불만이 많습니다,5,칭찬
FB000422,CUST004436,2023-03-03,만족합니다,4,건의
FB000423,CUST003880,2023-08-03,개선이 필요합니다,5,건의
FB000424,CUST002688,2023-11-23,계약 과정이 복잡해요,5,불만
FB000425,CUST000470,2023-07-22,불만이 많습니다,4,건의
FB000426,CUST001983,2023-03-18,청구서가 늦게 와요,3,건의
FB000427,CUST001508,2024-03-11,가격이 합리적입니다,4,건의
FB000428,CUST002167,2023-03-04,서비스가 좋습니다,4,건의
FB000429,CUST002116,2024-12-13,만족합니다,3,건의
FB000430,CUST003483,2024-05-04,가격이 합리적입니다,5,건의
FB000431,CUST000807,2024-08-02,요금이 비싼 편입니다,5,칭찬
FB000432,CUST000801,2024-11-18,기술자가 전문적이었습니다,5,건의
FB000433,CUST003952,2023-04-09,청구서가 늦게 와요,5,건의
FB000434,CUST000333,2024-05-12,다시 이용하고 싶습니다,4,건의
FB000435,CUST002975,2024-08-28,앱이 사용하기 편해요,5,칭찬
FB000436,CUST001355,2023-04-13,공급이 안정적이네요,4,불만
FB000437,CUST001200,2023-07-30,만족합니다,3,칭찬
FB000438,CUST002710,2024-07-10,고객지원이 부족합니다,4,건의
FB000439,CUST003576,2024-01-27,계약 과정이 복잡해요,3,건의
FB000440,CUST000525,2023-03-02,앱이 사용하기 편해요,5,건의
FB000441,CUST000961,2023-03-23,가격이 합리적입니다,4,칭찬
FB000442,CUST003328,2023-11-28,불만이 많습니다,3,칭찬
FB000443,CUST004164,2024-05-07,요금이 비싼 편입니다,4,칭찬
FB000444,CUST002988,2023-04-12,고객지원이 부족합니다,5,칭찬
FB000445,CUST002393,2024-12-19,상담원이 친절했습니다,4,불만
FB000446,CUST004247,2023-03-30,요금이 비싼 편입니다,1,칭찬
FB000447,CUST000283,2024-05-22,고객지원이 부족합니다,3,칭찬
FB000448,CUST002095,2023-04-29,공급이 안정적이네요,5,칭찬
FB000449,CUST004222,2023-07-28,개선이 필요합니다,5,건의
FB000450,CUST001481,2023-05-19,앱이 사용하기 편해요,4,불만
FB000451,CUST000499,2024-12-23,요금이 비싼 편입니다,3,불만
FB000452,CUST001290,2023-04-11,앱이 사용하기 편해요,5,건의
FB000453,CUST002887,2024-08-19,가격이 합리적입니다,5,불만
FB000454,CUST000186,2024-11-29,다시 이용하고 싶습니다,5,칭찬
FB000455,CUST004604,2023-11-13,앱이 사용하기 편해요,4,불만
FB000456,CUST001097,2023-01-17,서비스가 좋습니다,5,건의
FB000457,CUST000790,2023-05-19,고객지원이 부족합니다,4,칭찬
FB000458,CUST002646,2023-11-07,불만이 많습니다,4,칭찬
FB000459,CUST004494,2024-04-20,상담원이 친절했습니다,5,건의
FB000460,CUST001545,2024-11-16,가격이 합리적입니다,4,칭찬
FB000461,CUST004394,2023-01-05,기술자가 전문적이었습니다,4,불만
FB000462,CUST000211,2023-06-15,공급이 안정적이네요,4,건의
FB000463,CUST004846,2024-06-17,고객지원이 부족합니다,5,불만
FB000464,CUST003765,2024-07-22,만족합니다,5,건의
FB000465,CUST000706,2024-11-01,청구서가 늦게 와요,5,불만
FB000466,CUST001276,2023-04-01,요금이 비싼 편입니다,3,건의
FB000467,CUST000170,2023-10-24,상담원이 친절했습니다,5,칭찬
FB000468,CUST002255,2023-04-05,기술자가 전문적이었습니다,5,칭찬
FB000469,CUST001358,2023-05-03,가격이 합리적입니다,4,칭찬
FB000470,CUST004470,2023-05-16,요금이 비싼 편입니다,3,칭찬
FB000471,CUST003313,2024-06-30,앱이 사용하기 편해요,4,불만
FB000472,CUST002692,2024-04-15,기술자가 전문적이었습니다,2,불만
FB000473,CUST004415,2024-10-09,만족합니다,4,불만
FB000474,CUST000811,2023-11-03,공급이 안정적이네요,4,불만
FB000475,CUST000027,2023-11-21,상담원이 친절했습니다,3,칭찬
FB000476,CUST003795,2023-05-20,앱이 사용하기 편해요,5,건의
FB000477,CUST003742,2024-05-11,다시 이용하고 싶습니다,5,불만
FB000478,CUST000763,2024-12-14,다시 이용하고 싶습니다,3,건의
FB000479,CUST004930,2023-03-18,계약 과정이 복잡해요,4,건의
FB000480,CUST001123,2024-09-14,청구서가 늦게 와요,4,칭찬
FB000481,CUST000552,2023-08-07,계약 과정이 복잡해요,3,칭찬
FB000482,CUST004467,2024-03-22,계약 과정이 복잡해요,4,칭찬
FB000483,CUST002337,2024-05-02,만족합니다,4,칭찬
FB000484,CUST004021,2024-06-06,개선이 필요합니다,5,건의
FB000485,CUST004019,2024-01-13,만족합니다,5,칭찬
FB000486,CUST000102,2024-05-17,신청 처리가 빨라요,5,불만
FB000487,CUST004417,2024-01-25,청구서가 늦게 와요,5,건의
FB000488,CUST002193,2023-10-29,앱이 사용하기 편해요,4,불만
FB000489,CUST003082,2024-03-14,계약 과정이 복잡해요,5,건의
FB000490,CUST002848,2023-07-12,개선이 필요합니다,5,불만
FB000491,CUST002236,2024-09-11,청구서가 늦게 와요,4,칭찬
FB000492,CUST002484,2023-03-15,불만이 많습니다,5,건의
FB000493,CUST002530,2023-09-02,상담원이 친절했습니다,5,불만
FB000494,CUST004749,2024-07-21,청구서가 늦게 와요,4,건의
FB000495,CUST003482,2023-03-23,고객지원이 부족합니다,4,불만
FB000496,CUST004152,2023-02-08,다시 이용하고 싶습니다,5,칭찬
FB000497,CUST000409,2024-10-14,다시 이용하고 싶습니다,4,칭찬
FB000498,CUST004461,2024-05-26,앱이 사용하기 편해요,4,건의
FB000499,CUST003224,2023-11-05,기술자가 전문적이었습니다,3,칭찬
FB000500,CUST002492,2024-09-21,신청 처리가 빨라요,4,불만
FB000501,CUST003259,2023-04-24,만족합니다,5,칭찬
FB000502,CUST000477,2024-11-04,앱이 사용하기 편해요,4,건의
FB000503,CUST004951,2024-01-24,서비스가 좋습니다,4,칭찬
FB000504,CUST002102,2023-05-06,서비스가 좋습니다,5,불만
FB000505,CUST004391,2024-08-14,가격이 합리적입니다,5,건의
FB000506,CUST003705,2023-10-21,앱이 사용하기 편해요,4,칭찬
FB000507,CUST001206,2023-06-23,불만이 많습니다,4,칭찬
FB000508,CUST003345,2023-09-13,만족합니다,5,건의
FB000509,CUST002907,2024-10-18,만족합니다,5,칭찬
FB000510,CUST002611,2023-06-05,상담원이 친절했습니다,1,불만
FB000511,CUST000601,2023-05-02,기술자가 전문적이었습니다,4,건의
FB000512,CUST001015,2023-12-23,상담원이 친절했습니다,5,불만
FB000513,CUST000960,2023-10-18,요금이 비싼 편입니다,5,건의
FB000514,CUST004956,2023-02-19,기술자가 전문적이었습니다,4,칭찬
FB000515,CUST000096,2023-03-19,만족합니다,4,건의
FB000516,CUST004163,2024-12-28,다시 이용하고 싶습니다,4,칭찬
FB000517,CUST002755,2023-09-01,서비스가 좋습니다,5,칭찬
FB000518,CUST002472,2023-03-26,계약 과정이 복잡해요,5,건의
FB000519,CUST000231,2023-12-10,개선이 필요합니다,4,건의
FB000520,CUST002721,2023-08-12,가격이 합리적입니다,2,건의
FB000521,CUST000384,2023-12-06,공급이 안정적이네요,2,불만
FB000522,CUST003009,2023-02-22,계약 과정이 복잡해요,3,불만
FB000523,CUST002941,2024-02-25,개선이 필요합니다,4,건의
FB000524,CUST003917,2024-09-03,개선이 필요합니다,5,건의
FB000525,CUST003987,2024-11-10,공급이 안정적이네요,5,불만
FB000526,CUST002797,2024-03-19,다시 이용하고 싶습니다,3,불만
FB000527,CUST001190,2024-11-08,요금이 비싼 편입니다,5,불만
FB000528,CUST004466,2023-07-09,개선이 필요합니다,5,불만
FB000529,CUST000774,2024-02-02,만족합니다,1,건의
FB000530,CUST000153,2023-03-10,계약 과정이 복잡해요,4,건의
FB000531,CUST001829,2024-02-21,만족합니다,5,불만
FB000532,CUST000266,2024-07-15,개선이 필요합니다,2,불만
FB000533,CUST003512,2023-09-17,공급이 안정적이네요,4,불만
FB000534,CUST003356,2023-12-19,서비스가 좋습니다,1,불만
FB000535,CUST003032,2023-12-12,가격이 합리적입니다,3,불만
FB000536,CUST001195,2023-06-21,상담원이 친절했습니다,5,불만
FB000537,CUST001404,2023-11-27,계약 과정이 복잡해요,5,불만
FB000538,CUST001757,2023-06-29,만족합니다,3,칭찬
FB000539,CUST000936,2024-11-02,기술자가 전문적이었습니다,2,칭찬
FB000540,CUST003731,2024-05-23,공급이 안정적이네요,5,불만
FB000541,CUST000134,2023-11-16,가격이 합리적입니다,1,불만
FB000542,CUST004492,2023-03-18,상담원이 친절했습니다,2,불만
FB000543,CUST002677,2023-01-03,앱이 사용하기 편해요,4,칭찬
FB000544,CUST004040,2023-05-23,만족합니다,5,불만
FB000545,CUST000494,2024-10-10,기술자가 전문적이었습니다,5,불만
FB000546,CUST001476,2024-01-08,개선이 필요합니다,5,칭찬
FB000547,CUST001865,2023-10-17,서비스가 좋습니다,4,칭찬
FB000548,CUST004434,2024-05-13,계약 과정이 복잡해요,4,건의
FB000549,CUST002851,2023-03-08,고객지원이 부족합니다,2,건의
FB000550,CUST004963,2024-12-25,기술자가 전문적이었습니다,2,건의
FB000551,CUST004832,2024-04-22,요금이 비싼 편입니다,4,칭찬
FB000552,CUST002837,2024-08-20,서비스가 좋습니다,4,건의
FB000553,CUST002999,2024-07-09,고객지원이 부족합니다,5,불만
FB000554,CUST001164,2024-09-03,개선이 필요합니다,5,건의
FB000555,CUST001182,2024-12-22,앱이 사용하기 편해요,5,건의
FB000556,CUST000054,2024-09-20,앱이 사용하기 편해요,5,건의
FB000557,CUST003989,2023-10-10,서비스가 좋습니다,4,불만
FB000558,CUST000546,2024-06-17,공급이 안정적이네요,5,건의
FB000559,CUST000040,2024-06-22,불만이 많습니다,5,건의
FB000560,CUST001925,2024-01-03,계약 과정이 복잡해요,1,건의
FB000561,CUST003515,2024-03-12,앱이 사용하기 편해요,5,건의
FB000562,CUST001964,2024-02-04,기술자가 전문적이었습니다,5,건의
FB000563,CUST003081,2024-09-11,앱이 사용하기 편해요,5,건의
FB000564,CUST000678,2023-10-17,고객지원이 부족합니다,5,불만
FB000565,CUST002149,2024-06-02,청구서가 늦게 와요,3,불만
FB000566,CUST003372,2024-08-06,불만이 많습니다,5,불만
FB000567,CUST003085,2024-09-04,불만이 많습니다,3,건의
FB000568,CUST001997,2023-08-15,계약 과정이 복잡해요,5,칭찬
FB000569,CUST004451,2023-03-01,고객지원이 부족합니다,4,건의
FB000570,CUST001984,2023-02-01,고객지원이 부족합니다,3,불만
FB000571,CUST002640,2024-01-14,상담원이 친절했습니다,4,불만
FB000572,CUST002840,2023-04-19,개선이 필요합니다,3,불만
FB000573,CUST002130,2024-08-28,서비스가 좋습니다,3,칭찬
FB000574,CUST001726,2024-10-05,공급이 안정적이네요,4,칭찬
FB000575,CUST004614,2024-12-18,불만이 많습니다,4,불만
FB000576,CUST003905,2023-12-15,청구서가 늦게 와요,5,불만
FB000577,CUST000090,2024-03-19,개선이 필요합니다,5,불만
FB000578,CUST000988,2024-04-07,상담원이 친절했습니다,5,칭찬
FB000579,CUST000030,2023-12-23,청구서가 늦게 와요,5,칭찬
FB000580,CUST000321,2024-11-10,앱이 사용하기 편해요,2,건의
FB000581,CUST002597,2024-02-16,고객지원이 부족합니다,5,불만
FB000582,CUST001292,2023-08-02,신청 처리가 빨라요,4,불만
FB000583,CUST001216,2024-01-10,상담원이 친절했습니다,2,칭찬
FB000584,CUST003970,2024-01-08,앱이 사용하기 편해요,5,불만
FB000585,CUST002087,2024-05-31,가격이 합리적입니다,4,칭찬
FB000586,CUST004251,2023-10-31,계약 과정이 복잡해요,4,칭찬
FB000587,CUST000315,2023-05-30,만족합니다,3,불만
FB000588,CUST004884,2023-07-08,고객지원이 부족합니다,5,칭찬
FB000589,CUST002298,2024-04-04,상담원이 친절했습니다,2,칭찬
FB000590,CUST000156,2024-10-15,개선이 필요합니다,5,불만
FB000591,CUST000181,2023-03-30,요금이 비싼 편입니다,5,불만
FB000592,CUST001457,2024-04-11,만족합니다,4,건의
FB000593,CUST003467,2023-06-09,기술자가 전문적이었습니다,3,불만
FB000594,CUST002874,2024-02-04,신청 처리가 빨라요,5,건의
FB000595,CUST001005,2024-02-18,기술자가 전문적이었습니다,4,불만
FB000596,CUST000889,2023-05-17,불만이 많습니다,5,칭찬
FB000597,CUST000316,2024-10-31,고객지원이 부족합니다,5,칭찬
FB000598,CUST002285,2024-01-06,불만이 많습니다,4,건의
FB000599,CUST003527,2024-02-19,신청 처리가 빨라요,5,건의
FB000600,CUST002228,2024-01-11,상담원이 친절했습니다,5,칭찬
FB000601,CUST000633,2023-01-27,계약 과정이 복잡해요,4,불만
FB000602,CUST002982,2023-09-23,고객지원이 부족합니다,5,불만
FB000603,CUST001341,2024-01-27,가격이 합리적입니다,5,불만
FB000604,CUST001063,2023-01-09,가격이 합리적입니다,1,건의
FB000605,CUST000524,2024-05-02,앱이 사용하기 편해요,1,칭찬
FB000606,CUST000552,2023-01-24,청구서가 늦게 와요,4,불만
FB000607,CUST004654,2024-11-10,기술자가 전문적이었습니다,4,불만
FB000608,CUST002472,2023-02-13,공급이 안정적이네요,3,건의
FB000609,CUST003485,2023-03-26,만족합니다,5,건의
FB000610,CUST002097,2023-10-29,공급이 안정적이네요,5,건의
FB000611,CUST002449,2024-10-31,개선이 필요합니다,5,불만
FB000612,CUST001968,2023-10-09,다시 이용하고 싶습니다,4,건의
FB000613,CUST002969,2023-04-24,앱이 사용하기 편해요,4,불만
FB000614,CUST004521,2023-08-16,불만이 많습니다,1,칭찬
FB000615,CUST000003,2023-01-06,개선이 필요합니다,3,건의
FB000616,CUST000127,2024-01-23,가격이 합리적입니다,5,칭찬
FB000617,CUST004836,2024-06-05,상담원이 친절했습니다,3,건의
FB000618,CUST000784,2024-10-25,만족합니다,5,건의
FB000619,CUST003318,2024-03-07,공급이 안정적이네요,4,불만
FB000620,CUST004649,2023-07-04,가격이 합리적입니다,3,건의
FB000621,CUST002229,2023-09-24,공급이 안정적이네요,1,칭찬
FB000622,CUST002776,2023-02-11,상담원이 친절했습니다,5,칭찬
FB000623,CUST001651,2024-12-18,공급이 안정적이네요,5,불만
FB000624,CUST002767,2024-06-08,개선이 필요합니다,4,불만
FB000625,CUST003885,2024-03-31,개선이 필요합니다,5,건의
FB000626,CUST004956,2023-04-16,다시 이용하고 싶습니다,4,건의
FB000627,CUST001271,2023-01-06,만족합니다,5,불만
FB000628,CUST004923,2023-01-04,신청 처리가 빨라요,3,불만
FB000629,CUST004572,2024-10-15,요금이 비싼 편입니다,5,건의
FB000630,CUST000214,2024-02-26,다시 이용하고 싶습니다,4,건의
FB000631,CUST000300,2024-02-23,계약 과정이 복잡해요,5,칭찬
FB000632,CUST000217,2024-07-08,신청 처리가 빨라요,5,건의
FB000633,CUST003796,2024-09-05,불만이 많습니다,5,칭찬
FB000634,CUST000440,2023-03-02,고객지원이 부족합니다,1,칭찬
FB000635,CUST000509,2024-11-19,불만이 많습니다,5,불만
FB000636,CUST004583,2023-10-06,계약 과정이 복잡해요,4,건의
FB000637,CUST004914,2023-04-13,가격이 합리적입니다,5,건의
FB000638,CUST001233,2024-05-12,상담원이 친절했습니다,4,칭찬
FB000639,CUST000896,2023-05-19,다시 이용하고 싶습니다,5,칭찬
FB000640,CUST002489,2024-07-03,기술자가 전문적이었습니다,3,건의
FB000641,CUST000816,2023-05-25,청구서가 늦게 와요,5,칭찬
FB000642,CUST004176,2023-01-08,개선이 필요합니다,5,건의
FB000643,CUST004253,2024-04-28,공급이 안정적이네요,4,건의
FB000644,CUST002600,2024-02-22,청구서가 늦게 와요,2,불만
FB000645,CUST001442,2023-06-22,만족합니다,4,불만
FB000646,CUST001690,2023-07-16,가격이 합리적입니다,3,불만
FB000647,CUST000698,2024-05-28,청구서가 늦게 와요,4,칭찬
FB000648,CUST003431,2023-04-24,다시 이용하고 싶습니다,3,칭찬
FB000649,CUST004450,2023-05-05,다시 이용하고 싶습니다,5,건의
FB000650,CUST003199,2023-12-26,기술자가 전문적이었습니다,2,불만
FB000651,CUST004780,2024-11-06,다시 이용하고 싶습니다,3,건의
FB000652,CUST004398,2023-06-15,불만이 많습니다,5,건의
FB000653,CUST000554,2023-05-24,가격이 합리적입니다,5,칭찬
FB000654,CUST003878,2023-08-23,신청 처리가 빨라요,4,불만
FB000655,CUST003556,2023-05-27,계약 과정이 복잡해요,5,건의
FB000656,CUST004449,2024-07-19,청구서가 늦게 와요,3,건의
FB000657,CUST001804,2023-06-01,공급이 안정적이네요,3,불만
FB000658,CUST001108,2023-07-05,상담원이 친절했습니다,2,칭찬
FB000659,CUST002850,2023-06-29,신청 처리가 빨라요,5,건의
FB000660,CUST003145,2024-07-23,다시 이용하고 싶습니다,5,칭찬
FB000661,CUST002004,2023-06-08,앱이 사용하기 편해요,5,건의
FB000662,CUST002963,2023-10-18,상담원이 친절했습니다,4,불만
FB000663,CUST000954,2023-01-14,계약 과정이 복잡해요,1,칭찬
FB000664,CUST003860,2024-07-02,만족합니다,3,불만
FB000665,CUST001446,2023-10-12,고객지원이 부족합니다,4,건의
FB000666,CUST004972,2024-04-27,만족합니다,5,건의
