피드백ID,고객ID,등록일,내용,평가점수,유형
FB000667,CUST003339,2023-12-01,기술자가 전문적이었습니다,5,불만
FB000668,CUST004583,2023-06-09,요금이 비싼 편입니다,3,칭찬
FB000669,CUST002491,2024-06-22,상담원이 친절했습니다,4,칭찬
FB000670,CUST001383,2023-07-17,상담원이 친절했습니다,4,불만
FB000671,CUST004275,2024-01-02,서비스가 좋습니다,5,칭찬
FB000672,CUST002891,2024-09-12,요금이 비싼 편입니다,1,칭찬
FB000673,CUST002077,2024-08-28,청구서가 늦게 와요,5,건의
FB000674,CUST003673,2024-09-01,개선이 필요합니다,3,칭찬
FB000675,CUST004821,2023-11-01,공급이 안정적이네요,5,건의
FB000676,CUST004532,2023-02-02,고객지원이 부족합니다,5,건의
FB000677,CUST000619,2023-01-02,만족합니다,4,건의
FB000678,CUST001719,2023-10-07,요금이 비싼 편입니다,4,칭찬
FB000679,CUST000100,2023-04-05,신청 처리가 빨라요,3,칭찬
FB000680,CUST002075,2023-02-09,서비스가 좋습니다,5,건의
FB000681,CUST000730,2024-07-21,만족합니다,1,건의
FB000682,CUST000768,2023-10-02,불만이 많습니다,4,건의
FB000683,CUST004187,2024-04-08,고객지원이 부족합니다,4,불만
FB000684,CUST001456,2024-09-11,다시 이용하고 싶습니다,4,건의
FB000685,CUST000052,2023-04-29,기술자가 전문적이었습니다,4,불만
FB000686,CUST000948,2023-08-22,청구서가 늦게 와요,5,불만
FB000687,CUST002399,2024-01-17,상담원이 친절했습니다,5,불만
FB000688,CUST004488,2023-04-15,상담원이 친절했습니다,3,칭찬
FB000689,CUST000942,2024-12-22,다시 이용하고 싶습니다,5,건의
FB000690,CUST001695,2023-04-29,앱이 사용하기 편해요,4,칭찬
FB000691,CUST004645,2023-09-10,개선이 필요합니다,4,건의
FB000692,CUST004302,2023-12-22,상담원이 친절했습니다,3,칭찬
FB000693,CUST001673,2024-11-14,상담원이 친절했습니다,4,건의
FB000694,CUST004737,2023-01-31,상담원이 친절했습니다,5,건의
FB000695,CUST000069,2023-11-18,개선이 필요합니다,5,불만
FB000696,CUST003957,2023-07-18,앱이 사용하기 편해요,5,건의
FB000697,CUST003723,2023-11-23,청구서가 늦게 와요,3,건의
FB000698,CUST001763,2024-03-29,요금이 비싼 편입니다,4,불만
FB000699,CUST002326,2023-05-30,서비스가 좋습니다,5,건의
FB000700,CUST000719,2023-06-18,불만이 많습니다,5,칭찬
FB000701,CUST001945,2024-10-20,서비스가 좋습니다,1,건의
FB000702,CUST001507,2024-06-27,서비스가 좋습니다,3,칭찬
FB000703,CUST003760,2024-08-29,공급이 안정적이네요,2,불만
FB000704,CUST001697,2023-05-15,상담원이 친절했습니다,5,건의
FB000705,CUST004882,2023-01-08,개선이 필요합니다,4,칭찬
FB000706,CUST002253,2024-03-23,청구서가 늦게 와요,5,불만
FB000707,CUST004108,2023-10-24,서비스가 좋습니다,1,건의
FB000708,CUST001907,2023-05-01,불만이 많습니다,3,불만
FB000709,CUST001168,2024-10-16,계약 과정이 복잡해요,4,불만
FB000710,CUST001297,2024-12-18,요금이 비싼 편입니다,4,칭찬
FB000711,CUST000071,2024-11-11,요금이 비싼 편입니다,4,건의
FB000712,CUST001742,2024-01-04,서비스가 좋습니다,5,건의
FB000713,CUST001940,2024-05-16,다시 이용하고 싶습니다,5,칭찬
FB000714,CUST003854,2024-07-23,가격이 합리적입니다,3,불만
FB000715,CUST002691,2023-02-11,신청 처리가 빨라요,4,불만
FB000716,CUST002914,2024-09-05,서비스가 좋습니다,4,건의
FB000717,CUST003334,2024-04-20,요금이 비싼 편입니다,3,칭찬
FB000718,CUST003367,2024-06-20,만족합니다,5,불만
FB000719,CUST004694,2023-09-04,신청 처리가 빨라요,4,불만
FB000720,CUST004112,2023-01-30,앱이 사용하기 편해요,4,칭찬
FB000721,CUST004117,2023-05-11,기술자가 전문적이었습니다,4,건의
FB000722,CUST003018,2024-07-07,다시 이용하고 싶습니다,5,불만
FB000723,CUST002355,2023-01-18,요금이 비싼 편입니다,4,칭찬
FB000724,CUST000177,2023-03-16,다시 이용하고 싶습니다,2,불만
FB000725,CUST003536,2023-01-25,청구서가 늦게 와요,3,칭찬
FB000726,CUST004774,2023-11-04,앱이 사용하기 편해요,3,불만
FB000727,CUST004812,2023-04-15,기술자가 전문적이었습니다,4,칭찬
FB000728,CUST002900,2024-09-28,신청 처리가 빨라요,4,칭찬
FB000729,CUST003814,2023-10-22,앱이 사용하기 편해요,5,칭찬
FB000730,CUST002885,2024-12-30,청구서가 늦게 와요,5,칭찬
FB000731,CUST001207,2023-12-04,계약 과정이 복잡해요,4,건의
FB000732,CUST003359,2023-09-06,공급이 안정적이네요,5,건의
FB000733,CUST004043,2023-11-05,고객지원이 부족합니다,2,칭찬
FB000734,CUST004581,2023-03-21,개선이 필요합니다,5,불만
FB000735,CUST004002,2024-09-19,청구서가 늦게 와요,4,건의
FB000736,CUST003843,2023-12-07,고객지원이 부족합니다,4,건의
FB000737,CUST001441,2023-05-10,고객지원이 부족합니다,4,건의
FB000738,CUST001756,2024-06-06,상담원이 친절했습니다,5,건의
FB000739,CUST003852,2023-04-08,청구서가 늦게 와요,4,불만
FB000740,CUST000906,2024-11-02,공급이 안정적이네요,5,건의
FB000741,CUST000553,2023-09-26,요금이 비싼 편입니다,5,건의
FB000742,CUST001337,2023-10-22,개선이 필요합니다,5,건의
FB000743,CUST001436,2024-04-25,만족합니다,3,건의
FB000744,CUST004621,2024-07-23,상담원이 친절했습니다,5,칭찬
FB000745,CUST003374,2024-02-24,공급이 안정적이네요,4,불만
FB000746,CUST003943,2024-04-10,서비스가 좋습니다,4,불만
FB000747,CUST003992,2023-10-22,신청 처리가 빨라요,5,불만
FB000748,CUST002469,2024-10-05,신청 처리가 빨라요,4,건의
FB000749,CUST002106,2023-05-12,고객지원이 부족합니다,3,불만
FB000750,CUST001040,2024-07-17,서비스가 좋습니다,5,불만
FB000751,CUST001259,2023-02-07,상담원이 친절했습니다,5,건의
FB000752,CUST001568,2023-06-29,신청 처리가 빨라요,3,건의
FB000753,CUST000743,2023-03-29,만족합니다,4,건의
FB000754,CUST000095,2024-10-18,서비스가 좋습니다,1,건의
FB000755,CUST000355,2024-06-06,다시 이용하고 싶습니다,3,불만
FB000756,CUST001615,2024-11-21,서비스가 좋습니다,4,불만
FB000757,CUST004813,2024-07-22,서비스가 좋습니다,2,건의
FB000758,CUST002958,2024-09-16,다시 이용하고 싶습니다,4,불만
FB000759,CUST000482,2023-08-17,계약 과정이 복잡해요,4,불만
FB000760,CUST001249,2023-01-24,신청 처리가 빨라요,5,불만
FB000761,CUST000727,2024-01-30,상담원이 친절했습니다,5,건의
FB000762,CUST003875,2023-08-16,고객지원이 부족합니다,3,불만
FB000763,CUST001974,2023-12-19,다시 이용하고 싶습니다,5,불만
FB000764,CUST004040,2024-05-24,다시 이용하고 싶습니다,4,건의
FB000765,CUST000251,2024-07-26,기술자가 전문적이었습니다,4,불만
FB000766,CUST004347,2024-10-19,계약 과정이 복잡해요,3,칭찬
FB000767,CUST000732,2024-12-28,청구서가 늦게 와요,5,칭찬
FB000768,CUST004813,2023-01-26,공급이 안정적이네요,1,칭찬
FB000769,CUST003883,2024-11-20,개선이 필요합니다,4,칭찬
FB000770,CUST004548,2023-08-21,만족합니다,4,불만
FB000771,CUST001612,2024-04-20,계약 과정이 복잡해요,3,건의
FB000772,CUST004371,2024-07-25,만족합니다,5,건의
FB000773,CUST003134,2024-08-22,불만이 많습니다,4,건의
FB000774,CUST001080,2023-04-29,가격이 합리적입니다,5,건의
FB000775,CUST003397,2024-11-14,기술자가 전문적이었습니다,2,건의
FB000776,CUST002093,2023-05-30,상담원이 친절했습니다,4,불만
FB000777,CUST000648,2023-04-10,요금이 비싼 편입니다,5,불만
FB000778,CUST004070,2023-08-16,요금이 비싼 편입니다,5,불만
FB000779,CUST003655,2024-11-07,요금이 비싼 편입니다,3,건의
FB000780,CUST002409,2024-09-27,기술자가 전문적이었습니다,4,불만
FB000781,CUST002480,2024-03-31,다시 이용하고 싶습니다,3,칭찬
FB000782,CUST001839,2023-09-14,다시 이용하고 싶습니다,4,건의
FB000783,CUST004193,2023-09-03,상담원이 친절했습니다,4,칭찬
FB000784,CUST000246,2024-02-17,개선이 필요합니다,3,건의
FB000785,CUST000344,2024-09-02,만족합니다,4,불만
FB000786,CUST002993,2024-08-12,공급이 안정적이네요,5,불만
FB000787,CUST000101,2023-01-15,만족합니다,5,건의
FB000788,CUST000727,2023-11-23,청구서가 늦게 와요,5,건의
FB000789,CUST003570,2023-12-06,요금이 비싼 편입니다,5,칭찬
FB000790,CUST001911,2024-07-19,가격이 합리적입니다,4,칭찬
FB000791,CUST002685,2023-11-27,공급이 안정적이네요,4,건의
FB000792,CUST004575,2023-12-19,공급이 안정적이네요,4,칭찬
FB000793,CUST003938,2024-05-19,가격이 합리적입니다,4,불만
FB000794,CUST001761,2024-01-17,가격이 합리적입니다,5,불만
FB000795,CUST001113,2024-08-29,서비스가 좋습니다,3,건의
FB000796,CUST000400,2024-08-08,상담원이 친절했습니다,5,건의
FB000797,CUST001296,2023-11-10,청구서가 늦게 와요,4,칭찬
FB000798,CUST003503,2024-12-15,불만이 많습니다,5,불만
FB000799,CUST004989,2023-01-22,개선이 필요합니다,2,건의
FB000800,CUST002134,2024-07-11,상담원이 친절했습니다,3,건의
FB000801,CUST003440,2023-10-12,개선이 필요합니다,5,칭찬
FB000802,CUST004821,2023-07-11,청구서가 늦게 와요,5,불만
FB000803,CUST001189,2024-08-12,가격이 합리적입니다,3,건의
FB000804,CUST003354,2023-01-01,불만이 많습니다,3,건의
FB000805,CUST004787,2024-03-05,다시 이용하고 싶습니다,4,건의
FB000806,CUST003254,2024-09-09,신청 처리가 빨라요,5,칭찬
FB000807,CUST002557,2024-03-16,다시 이용하고 싶습니다,5,건의
FB000808,CUST003719,2024-08-03,상담원이 친절했습니다,4,건의
FB000809,CUST002634,2024-10-14,기술자가 전문적이었습니다,5,칭찬
FB000810,CUST000782,2023-02-20,서비스가 좋습니다,3,건의
FB000811,CUST004410,2024-12-07,청구서가 늦게 와요,5,칭찬
FB000812,CUST003763,2023-11-02,신청 처리가 빨라요,5,불만
FB000813,CUST003283,2024-01-03,고객지원이 부족합니다,4,칭찬
FB000814,CUST000237,2023-06-06,다시 이용하고 싶습니다,4,칭찬
FB000815,CUST003881,2024-06-16,서비스가 좋습니다,5,칭찬
FB000816,CUST001040,2024-09-14,계약 과정이 복잡해요,5,불만
FB000817,CUST000599,2024-07-10,불만이 많습니다,5,건의
FB000818,CUST000416,2024-03-15,서비스가 좋습니다,4,칭찬
FB000819,CUST001766,2023-01-16,고객지원이 부족합니다,3,칭찬
FB000820,CUST003739,2024-01-22,청구서가 늦게 와요,5,칭찬
FB000821,CUST002205,2023-03-10,앱이 사용하기 편해요,1,건의
FB000822,CUST003016,2023-02-19,다시 이용하고 싶습니다,3,불만
FB000823,CUST000508,2024-02-02,가격이 합리적입니다,4,불만
FB000824,CUST001040,2023-12-06,기술자가 전문적이었습니다,4,불만
FB000825,CUST000452,2024-03-06,가격이 합리적입니다,4,불만
FB000826,CUST004268,2024-04-15,요금이 비싼 편입니다,4,칭찬
FB000827,CUST004319,2023-09-04,기술자가 전문적이었습니다,5,불만
FB000828,CUST001960,2023-08-28,서비스가 좋습니다,5,칭찬
FB000829,CUST002726,2024-04-08,앱이 사용하기 편해요,3,칭찬
FB000830,CUST002058,2023-10-07,가격이 합리적입니다,5,건의
FB000831,CUST004174,2024-01-16,공급이 안정적이네요,4,건의
FB000832,CUST000744,2024-03-30,계약 과정이 복잡해요,1,건의
FB000833,CUST002361,2023-02-14,불만이 많습니다,5,칭찬
FB000834,CUST004773,2023-03-26,청구서가 늦게 와요,5,건의
FB000835,CUST003384,2024-02-13,가격이 합리적입니다,4,칭찬
FB000836,CUST001929,2023-11-22,기술자가 전문적이었습니다,5,칭찬
FB000837,CUST003250,2023-05-28,불만이 많습니다,4,불만
FB000838,CUST000540,2024-03-30,가격이 합리적입니다,4,불만
FB000839,CUST002060,2024-02-29,다시 이용하고 싶습니다,5,불만
FB000840,CUST002636,2023-04-06,만족합니다,3,건의
FB000841,CUST003669,2023-08-17,개선이 필요합니다,5,불만
FB000842,CUST001433,2024-03-04,상담원이 친절했습니다,4,건의
FB000843,CUST000348,2024-11-10,만족합니다,5,건의
FB000844,CUST003688,2024-07-27,앱이 사용하기 편해요,4,건의
FB000845,CUST001011,2023-03-12,기술자가 전문적이었습니다,5,칭찬
FB000846,CUST001349,2023-11-03,청구서가 늦게 와요,4,불만
FB000847,CUST001947,2024-08-24,다시 이용하고 싶습니다,3,불만
FB000848,CUST001606,2024-07-19,앱이 사용하기 편해요,4,칭찬
FB000849,CUST004217,2023-03-01,요금이 비싼 편입니다,4,불만
FB000850,CUST004615,2023-05-24,요금이 비싼 편입니다,5,건의
FB000851,CUST000817,2024-01-02,기술자가 전문적이었습니다,5,건의
FB000852,CUST003356,2023-08-14,상담원이 친절했습니다,2,불만
FB000853,CUST004645,2024-10-12,신청 처리가 빨라요,5,불만
FB000854,CUST000305,2023-01-21,요금이 비싼 편입니다,4,칭찬
FB000855,CUST004160,2024-06-08,개선이 필요합니다,5,건의
FB000856,CUST000325,2023-10-15,청구서가 늦게 와요,3,건의
FB000857,CUST003220,2023-07-19,요금이 비싼 편입니다,4,건의
FB000858,CUST004892,2024-05-05,신청 처리가 빨라요,5,건의
FB000859,CUST000278,2024-02-13,공급이 안정적이네요,4,건의
FB000860,CUST000056,2024-09-22,상담원이 친절했습니다,4,건의
FB000861,CUST004488,2024-09-20,기술자가 전문적이었습니다,3,건의
FB000862,CUST000044,2023-06-14,청구서가 늦게 와요,3,건의
FB000863,CUST000453,2024-10-17,기술자가 전문적이었습니다,1,건의
FB000864,CUST003553,2024-09-19,요금이 비싼 편입니다,5,건의
FB000865,CUST001107,2024-02-12,청구서가 늦게 와요,4,불만
FB000866,CUST004586,2023-10-30,개선이 필요합니다,5,칭찬
FB000867,CUST002254,2023-10-03,계약 과정이 복잡해요,5,칭찬
FB000868,CUST002763,2023-11-05,공급이 안정적이네요,4,불만
FB000869,CUST000025,2024-04-15,상담원이 친절했습니다,1,건의
FB000870,CUST000883,2024-05-25,요금이 비싼 편입니다,5,건의
FB000871,CUST000524,2023-07-04,상담원이 친절했습니다,4,불만
FB000872,CUST004984,2023-11-27,다시 이용하고 싶습니다,3,건의
FB000873,CUST001413,2023-01-10,요금이 비싼 편입니다,3,건의
FB000874,CUST000706,2024-06-28,개선이 필요합니다,3,불만
FB000875,CUST000836,2023-10-16,계약 과정이 복잡해요,5,건의
FB000876,CUST004342,2024-11-22,신청 처리가 빨라요,5,건의
FB000877,CUST004008,2023-07-08,다시 이용하고 싶습니다,3,건의
FB000878,CUST002138,2023-09-04,불만이 많습니다,2,건의
FB000879,CUST004607,2023-05-25,다시 이용하고 싶습니다,3,건의
FB000880,CUST001355,2023-09-14,개선이 필요합니다,3,건의
FB000881,CUST003945,2023-06-28,청구서가 늦게 와요,4,건의
FB000882,CUST004121,2023-08-06,서비스가 좋습니다,5,불만
FB000883,CUST000035,2023-11-05,상담원이 친절했습니다,5,건의
FB000884,CUST001123,2024-06-08,다시 이용하고 싶습니다,4,건의
FB000885,CUST003211,2023-01-05,만족합니다,5,칭찬
FB000886,CUST003826,2023-02-02,청구서가 늦게 와요,1,건의
FB000887,CUST002849,2023-10-08,공급이 안정적이네요,5,건의
FB000888,CUST004394,2023-03-23,다시 이용하고 싶습니다,3,건의
FB000889,CUST001048,2024-04-10,개선이 필요합니다,5,칭찬
FB000890,CUST002505,2024-12-27,기술자가 전문적이었습니다,4,칭찬
FB000891,CUST000741,2023-05-10,신청 처리가 빨라요,5,불만
FB000892,CUST000074,2023-11-12,서비스가 좋습니다,5,건의
FB000893,CUST004479,2023-04-24,신청 처리가 빨라요,4,건의
FB000894,CUST002330,2023-12-05,앱이 사용하기 편해요,1,건의
FB000895,CUST004191,2023-12-17,서비스가 좋습니다,1,건의
FB000896,CUST003555,2023-09-10,고객지원이 부족합니다,3,건의
FB000897,CUST002845,2024-02-12,만족합니다,4,건의
FB000898,CUST003575,2024-09-06,가격이 합리적입니다,4,불만
FB000899,CUST003572,2023-04-21,청구서가 늦게 와요,5,칭찬
FB000900,CUST003171,2023-12-02,만족합니다,4,건의
FB000901,CUST003549,2024-07-01,청구서가 늦게 와요,4,불만
FB000902,CUST001957,2023-12-13,상담원이 친절했습니다,5,건의
FB000903,CUST000486,2023-11-19,개선이 필요합니다,3,건의
FB000904,CUST002459,2024-04-14,개선이 필요합니다,4,불만
FB000905,CUST001304,2023-10-16,서비스가 좋습니다,4,건의
FB000906,CUST001215,2024-08-21,앱이 사용하기 편해요,5,건의
FB000907,CUST003746,2023-01-30,개선이 필요합니다,3,불만
FB000908,CUST001247,2024-01-29,가격이 합리적입니다,5,건의
FB000909,CUST001644,2023-06-28,고객지원이 부족합니다,2,칭찬
FB000910,CUST004425,2024-05-25,요금이 비싼 편입니다,5,건의
FB000911,CUST000221,2024-07-30,청구서가 늦게 와요,3,건의
FB000912,CUST001763,2024-01-23,상담원이 친절했습니다,5,칭찬
FB000913,CUST004995,2023-01-16,계약 과정이 복잡해요,2,건의
FB000914,CUST001829,2023-06-16,불만이 많습니다,5,불만
FB000915,CUST003355,2023-10-12,가격이 합리적입니다,4,건의
FB000916,CUST004655,2023-06-18,서비스가 좋습니다,4,건의
FB000917,CUST001183,2024-01-13,개선이 필요합니다,4,칭찬
FB000918,CUST002041,2024-04-08,공급이 안정적이네요,4,건의
FB000919,CUST000267,2023-03-04,불만이 많습니다,3,건의
FB000920,CUST003237,2023-09-02,상담원이 친절했습니다,4,칭찬
FB000921,CUST001109,2023-08-07,신청 처리가 빨라요,4,칭찬
FB000922,CUST002878,2023-08-15,만족합니다,4,칭찬
FB000923,CUST001766,2024-11-03,공급이 안정적이네요,4,불만
FB000924,CUST000487,2023-05-28,앱이 사용하기 편해요,5,칭찬
FB000925,CUST003185,2024-09-27,공급이 안정적이네요,3,건의
FB000926,CUST002906,2023-12-13,만족합니다,4,건의
FB000927,CUST002255,2024-11-22,공급이 안정적이네요,5,건의
FB000928,CUST002124,2024-09-06,계약 과정이 복잡해요,5,불만
FB000929,CUST000402,2023-10-26,신청 처리가 빨라요,5,불만
FB000930,CUST001735,2024-01-03,앱이 사용하기 편해요,4,건의
FB000931,CUST003260,2023-07-05,앱이 사용하기 편해요,4,건의
FB000932,CUST003428,2023-08-16,만족합니다,3,건의
FB000933,CUST000218,2023-03-26,가격이 합리적입니다,3,불만
FB000934,CUST003636,2023-11-26,가격이 합리적입니다,5,칭찬
FB000935,CUST002512,2024-10-17,개선이 필요합니다,4,칭찬
FB000936,CUST004609,2024-07-04,가격이 합리적입니다,5,건의
FB000937,CUST004327,2023-05-23,기술자가 전문적이었습니다,5,건의
FB000938,CUST003426,2024-06-21,만족합니다,2,칭찬
FB000939,CUST000805,2024-02-01,불만이 많습니다,5,칭찬
FB000940,CUST000745,2023-08-20,만족합니다,4,건의
FB000941,CUST004515,2023-02-17,가격이 합리적입니다,4,칭찬
FB000942,CUST002565,2023-10-14,가격이 합리적입니다,3,불만
FB000943,CUST003286,2023-01-21,공급이 안정적이네요,4,칭찬
FB000944,CUST002521,2023-05-24,서비스가 좋습니다,3,불만
FB000945,CUST003481,2024-09-11,가격이 합리적입니다,3,불만
FB000946,CUST003040,2024-03-21,상담원이 친절했습니다,3,건의
FB000947,CUST004458,2024-02-06,개선이 필요합니다,5,건의
FB000948,CUST001724,2023-07-08,만족합니다,4,불만
FB000949,CUST002653,2024-12-07,상담원이 친절했습니다,4,칭찬
FB000950,CUST003754,2024-09-24,앱이 사용하기 편해요,5,칭찬
FB000951,CUST004742,2024-09-06,신청 처리가 빨라요,5,불만
FB000952,CUST003015,2023-04-03,공급이 안정적이네요,4,불만
FB000953,CUST003922,2024-03-29,상담원이 친절했습니다,4,칭찬
FB000954,CUST001028,2023-06-11,상담원이 친절했습니다,5,칭찬
FB000955,CUST003067,2023-04-12,고객지원이 부족합니다,5,칭찬
FB000956,CUST002342,2024-05-12,다시 이용하고 싶습니다,5,칭찬
FB000957,CUST002723,2023-10-30,불만이 많습니다,4,칭찬
FB000958,CUST003040,2023-06-10,서비스가 좋습니다,5,칭찬
FB000959,CUST001308,2024-09-06,불만이 많습니다,1,건의
FB000960,CUST002517,2023-05-23,가격이 합리적입니다,1,칭찬
FB000961,CUST003834,2023-05-15,요금이 비싼 편입니다,5,건의
FB000962,CUST001953,2023-01-28,서비스가 좋습니다,3,불만
FB000963,CUST001319,2023-11-06,앱이 사용하기 편해요,5,불만
FB000964,CUST001812,2023-03-31,고객지원이 부족합니다,5,칭찬
FB000965,CUST001074,2024-02-22,상담원이 친절했습니다,4,불만
FB000966,CUST004648,2024-04-20,가격이 합리적입니다,5,건의
FB000967,CUST001789,2024-07-08,공급이 안정적이네요,5,건의
FB000968,CUST004046,2023-07-01,계약 과정이 복잡해요,5,불만
FB000969,CUST000026,2023-05-03,만족합니다,5,칭찬
FB000970,CUST001059,2024-01-03,가격이 합리적입니다,3,불만
FB000971,CUST004224,2024-12-01,상담원이 친절했습니다,4,건의
FB000972,CUST004982,2023-09-04,가격이 합리적입니다,5,건의
FB000973,CUST001992,2024-08-27,상담원이 친절했습니다,5,건의
FB000974,CUST000125,2023-06-30,청구서가 늦게 와요,3,불만
FB000975,CUST001558,2024-02-20,가격이 합리적입니다,4,건의
FB000976,CUST000023,2024-01-27,청구서가 늦게 와요,5,불만
FB000977,CUST003772,2024-09-10,고객지원이 부족합니다,5,건의
FB000978,CUST003279,2023-08-03,요금이 비싼 편입니다,2,불만
FB000979,CUST003351,2024-05-01,개선이 필요합니다,5,건의
FB000980,CUST004801,2023-01-06,만족합니다,4,건의
FB000981,CUST001684,2024-02-10,가격이 합리적입니다,3,건의
FB000982,CUST002330,2023-08-15,신청 처리가 빨라요,5,불만
FB000983,CUST004207,2023-05-10,다시 이용하고 싶습니다,5,불만
FB000984,CUST000130,2023-12-30,다시 이용하고 싶습니다,3,칭찬
FB000985,CUST002819,2023-02-03,가격이 합리적입니다,4,칭찬
FB000986,CUST000628,2023-08-09,개선이 필요합니다,4,칭찬
FB000987,CUST001044,2023-05-05,계약 과정이 복잡해요,2,칭찬
FB000988,CUST002924,2023-08-25,고객지원이 부족합니다,5,칭찬
FB000989,CUST001546,2024-08-23,만족합니다,4,칭찬
FB000990,CUST000541,2023-06-10,가격이 합리적입니다,4,불만
FB000991,CUST004800,2024-05-27,신청 처리가 빨라요,5,건의
FB000992,CUST000279,2023-02-16,공급이 안정적이네요,5,칭찬
FB000993,CUST004667,2023-11-06,기술자가 전문적이었습니다,5,건의
FB000994,CUST002334,2024-06-28,계약 과정이 복잡해요,4,칭찬
FB000995,CUST002756,2024-01-02,기술자가 전문적이었습니다,5,불만
FB000996,CUST004632,2023-01-08,불만이 많습니다,3,건의
FB000997,CUST000595,2023-07-09,다시 이용하고 싶습니다,5,칭찬
FB000998,CUST000325,2023-06-04,고객지원이 부족합니다,2,건의
FB000999,CUST003469,2023-02-16,요금이 비싼 편입니다,4,불만
FB001000,CUST000014,2024-03-04,요금이 비싼 편입니다,3,칭찬
